Timestamp,CH1,behavior
42061.528,0.073,walking
42128.182,0.336,walking
42194.839,0.233,walking
42261.502,0.155,walking
42328.157,0.196,walking
42394.817,0.17,walking
42461.471,0.23,walking
42528.129,0.291,walking
42594.79,0.708,walking
42661.449,0.789,walking
42728.102,0.726,walking
42794.764,0.678,walking
42861.42,0.476,walking
42928.078,0.52,walking
42994.734,0.405,walking
43061.393,0.161,walking
43128.05,-0.124,walking
43194.708,-0.36,walking
43261.367,-0.45,walking
43328.022,-0.544,walking
43394.677,-0.611,walking
43461.336,-0.672,walking
43527.995,-0.678,walking
43594.649,-0.99,walking
43661.309,-0.871,walking
43727.969,-0.648,walking
43794.627,-0.597,walking
43861.285,-0.47,walking
43927.941,-0.496,walking
43994.596,-0.516,walking
44061.251,-0.448,walking
44127.911,-0.362,walking
44194.567,-0.225,grooming
44261.227,-0.101,grooming
44327.884,-0.233,grooming
44394.54,-0.354,grooming
44461.2,-0.537,grooming
44527.855,-0.966,walking
44594.517,-1.161,walking
44661.169,-1.424,walking
44727.832,-1.834,walking
44794.487,-1.827,walking
44861.146,-1.612,walking
44927.799,-1.566,walking
44994.459,-1.605,walking
45061.113,-1.665,walking
45127.772,-1.495,walking
45194.433,-1.551,fore lick
45261.088,-1.485,fore lick
45327.748,-1.362,fore lick
45394.405,-1.141,fore lick
45461.061,-0.984,fore lick
45527.721,-0.733,fore lick
45594.374,-0.618,fore lick
45661.03,-0.646,fore lick
45727.689,-0.536,idle
45794.347,-0.649,idle
45861.002,-1.064,idle
45927.666,-1.136,idle
45994.321,-1.298,idle
46060.976,-1.232,idle
46127.638,-1.216,idle
46194.289,-0.965,idle
46260.952,-0.987,idle
46327.607,-0.976,idle
46394.262,-1.049,idle
46460.92,-0.947,idle
46527.576,-0.861,idle
46594.235,-0.625,idle
46660.897,-0.321,idle
46727.554,-0.192,idle
46794.209,0.071,idle
46860.87,0.333,idle
46927.524,0.504,idle
46994.179,0.864,idle
47060.842,0.912,idle
47127.493,1.049,idle
47194.152,0.972,idle
47260.809,1.016,idle
47327.468,1.195,idle
47394.122,1.187,idle
47460.783,1.268,idle
47527.442,1.463,idle
47594.095,1.359,idle
47660.757,1.264,idle
47727.413,1.353,idle
47794.066,1.325,idle
47860.728,1.542,idle
47927.385,1.498,idle
47994.045,1.215,idle
48060.702,1.124,idle
48127.359,0.91,idle
48194.017,0.998,idle
48260.675,0.953,idle
48327.334,0.782,idle
48393.988,0.641,idle
48460.649,0.423,idle
48527.306,0.12,idle
48593.964,-0.017,idle
48660.624,-0.321,idle
48727.28,-0.461,idle
48793.936,-0.716,idle
48860.598,-1.092,idle
48927.253,-1.295,idle
48993.909,-1.3,idle
49060.569,-1.489,idle
49127.225,-1.706,idle
49193.882,-1.926,idle
49260.544,-2.177,idle
49327.199,-2.325,idle
49393.861,-2.38,idle
49460.519,-2.489,idle
49527.176,-2.477,idle
49593.835,-2.471,idle
49660.492,-2.211,idle
49727.15,-2.099,idle
49793.807,-1.939,idle
49860.467,-1.907,idle
49927.121,-1.775,idle
49993.782,-1.676,idle
50060.44,-1.508,idle
50127.095,-1.292,idle
50193.751,-1.306,idle
50260.411,-1.18,idle
50327.07,-1.015,idle
50393.729,-0.871,idle
50460.385,-0.872,idle
50527.042,-0.942,idle
50593.703,-0.866,idle
50660.362,-0.856,idle
50727.019,-1.094,idle
50793.674,-1.127,idle
50860.332,-1.058,idle
50926.991,-1.207,idle
50993.649,-1.225,idle
51060.306,-1.347,idle
51126.968,-1.51,idle
51193.623,-1.436,idle
51260.277,-1.468,idle
51326.94,-1.555,idle
51393.594,-1.514,idle
51460.252,-1.495,idle
51526.911,-1.453,idle
51593.573,-1.48,idle
51660.225,-1.571,idle
51726.885,-1.57,idle
51793.544,-1.61,idle
51860.2,-1.688,idle
51926.862,-1.549,idle
51993.518,-1.637,idle
52060.178,-1.442,idle
52126.835,-1.428,idle
52193.492,-1.414,idle
52260.146,-1.51,idle
52326.808,-1.616,idle
52393.463,-1.689,idle
52460.124,-1.511,idle
52526.782,-1.579,idle
52593.44,-1.486,idle
52660.093,-1.559,idle
52726.756,-1.49,idle
52793.41,-1.364,idle
52860.069,-1.288,idle
52926.729,-1.235,idle
52993.383,-1.269,idle
53060.045,-1.407,walking
53126.701,-1.455,walking
53193.359,-1.469,walking
53260.015,-1.149,walking
53326.675,-1.047,walking
53393.331,-1.036,walking
53459.988,-1.125,walking
53526.649,-0.951,walking
53593.308,-0.975,walking
53659.961,-0.916,walking
53726.624,-0.81,walking
53793.282,-0.913,walking
53859.94,-0.998,walking
53926.593,-1.018,walking
53993.256,-1.092,walking
54059.91,-0.919,walking
54126.57,-0.732,walking
54193.228,-0.657,walking
54259.885,-0.59,walking
54326.543,-0.493,walking
54393.197,-0.381,walking
54459.857,-0.269,walking
54526.516,-0.357,walking
54593.172,-0.396,walking
54659.833,-0.197,walking
54726.492,-0.127,walking
54793.15,-0.027,walking
54859.803,0.052,walking
54926.462,0.217,walking
54993.121,0.346,walking
55059.776,0.298,walking
55126.435,0.451,walking
55193.091,0.291,walking
55259.752,0.161,walking
55326.41,0.187,walking
55393.067,-0.028,walking
55459.722,-0.302,walking
55526.381,-0.203,walking
55593.041,-0.048,walking
55659.696,-0.114,walking
55726.356,-0.33,walking
55793.014,-0.365,walking
55859.674,-0.276,walking
55926.327,-0.436,walking
55992.986,-0.314,walking
56059.65,-0.49,walking
56126.307,-0.87,walking
56192.963,-0.779,walking
56259.629,-0.994,walking
56326.285,-1.1,walking
56392.946,-1.043,walking
56459.604,-0.867,walking
56526.262,-1.093,walking
56592.924,-1.196,walking
56659.579,-1.191,walking
56726.236,-1.2,walking
56792.901,-1.293,walking
56859.557,-1.228,walking
56926.216,-1.118,walking
56992.874,-1.067,walking
57059.538,-1.038,walking
57126.197,-0.743,walking
57192.853,-0.694,walking
57259.512,-0.595,walking
57326.174,-0.591,walking
57392.832,-0.462,walking
57459.488,-0.589,walking
57526.149,-0.371,walking
57592.807,-0.563,walking
57659.466,-0.68,walking
57726.127,-0.6,walking
57792.788,-0.55,walking
57859.442,-0.642,walking
57926.103,-0.906,walking
57992.763,-0.923,walking
58059.421,-0.878,walking
58126.079,-0.875,walking
58192.741,-1.103,walking
58259.402,-1.032,walking
58326.058,-1.002,walking
58392.719,-1.088,walking
58459.376,-1.048,walking
58526.039,-0.849,walking
58592.693,-0.475,walking
58659.356,-0.375,walking
58726.012,-0.175,walking
58792.67,-0.123,walking
58859.332,-0.129,walking
58925.992,0.045,walking
58992.648,0.051,walking
59059.309,0.25,walking
59125.967,0.315,walking
59192.626,0.66,walking
59259.287,0.767,walking
59325.949,0.847,walking
59392.608,1.07,walking
59459.263,1.372,walking
59525.927,1.293,walking
59592.585,1.267,walking
59659.241,1.178,walking
59725.903,1.215,walking
59792.562,1.337,walking
59859.218,1.259,walking
59925.879,1.121,walking
59992.539,1.069,walking
60059.198,0.992,walking
60125.854,0.981,walking
60192.515,1.041,walking
60259.173,0.953,walking
60325.837,1.039,walking
60392.496,0.828,walking
60459.154,0.763,walking
60525.814,0.648,walking
60592.471,0.57,walking
60659.128,0.67,walking
60725.79,0.514,walking
60792.446,0.622,walking
60859.11,0.613,walking
60925.768,1.028,walking
60992.425,1.076,walking
61059.084,0.942,walking
61125.749,0.947,walking
61192.409,0.743,walking
61259.064,0.906,walking
61325.724,0.853,walking
61392.383,1.092,walking
61459.044,0.975,walking
61525.7,1.034,walking
61592.363,1.047,walking
61659.019,0.939,walking
61725.68,1.031,walking
61792.337,0.835,walking
61859.001,1.191,walking
61925.66,0.883,idle
61992.316,0.964,idle
62058.978,1.302,idle
62125.638,1.208,idle
62192.295,1.209,idle
62258.95,1.069,idle
62325.611,0.958,idle
62392.276,0.911,idle
62458.932,0.792,idle
62525.59,0.848,idle
62592.248,0.98,idle
62658.909,1.259,idle
62725.569,1.424,idle
62792.229,1.621,idle
62858.889,1.475,idle
62925.546,1.61,idle
62992.208,1.573,idle
63058.863,1.434,idle
63125.526,1.48,idle
63192.181,1.472,idle
63258.843,1.501,idle
63325.502,1.535,idle
63392.16,1.519,idle
63458.821,1.871,idle
63525.483,1.819,idle
63592.139,1.802,idle
63658.803,1.912,idle
63725.457,1.892,idle
63792.117,1.835,idle
63858.778,1.91,idle
63925.438,1.862,idle
63992.092,1.866,idle
64058.751,1.841,idle
64125.41,1.902,idle
64192.067,1.98,idle
64258.722,1.933,idle
64325.381,1.92,idle
64392.037,1.771,idle
64458.694,1.649,idle
64525.349,1.544,idle
64592.008,1.266,idle
64658.664,1.081,idle
64725.319,0.697,idle
64791.977,0.361,idle
64858.635,0.189,idle
64925.287,0.147,idle
64991.948,0.053,idle
65058.605,-0.057,idle
65125.259,-0.09,idle
65191.918,-0.162,idle
65258.57,0.125,idle
65325.231,0.189,walking
65391.886,0.398,walking
65458.541,0.389,walking
65525.2,0.669,walking
65591.859,0.957,walking
65658.515,0.958,walking
65725.171,1.096,walking
65791.83,1.338,walking
65858.484,1.188,walking
65925.144,1.25,walking
65991.795,1.088,walking
66058.452,1.358,walking
66125.11,1.426,walking
66191.77,1.306,walking
66258.422,0.815,walking
66325.081,0.78,walking
66391.74,0.612,walking
66458.394,0.461,walking
66525.05,0.382,walking
66591.711,0.169,walking
66658.362,0.09,walking
66725.025,0.128,walking
66791.682,-0.022,walking
66858.335,0.101,walking
66924.995,0.005,supported rearing
66991.647,-0.066,supported rearing
67058.309,-0.464,supported rearing
67124.963,-0.814,supported rearing
67191.617,-0.523,supported rearing
67258.277,-0.277,supported rearing
67324.93,-0.181,supported rearing
67391.586,-0.09,supported rearing
67458.245,0.174,supported rearing
67524.9,0.138,supported rearing
67591.562,0.122,supported rearing
67658.214,0.101,supported rearing
67724.874,0.143,supported rearing
67791.531,0.28,walking
67858.187,0.29,walking
67924.84,0.254,walking
67991.5,0.276,walking
68058.154,0.384,walking
68124.815,0.597,walking
68191.468,0.416,walking
68258.129,0.493,walking
68324.785,0.376,walking
68391.439,0.331,walking
68458.097,0.241,walking
68524.754,0.124,walking
68591.409,0.366,walking
68658.068,0.544,walking
68724.723,0.716,walking
68791.383,0.699,walking
68858.039,0.945,walking
68924.691,1.006,walking
68991.351,1.116,walking
69058.007,1.21,walking
69124.66,1.113,walking
69191.319,1.097,walking
69257.976,0.778,walking
69324.629,0.697,walking
69391.287,0.597,walking
