time,dF/F,behavior
40461.988,-0.228,fore lick
40528.647,-0.226,fore lick
40595.309,-0.209,fore lick
40661.963,-0.204,fore lick
40728.625,-0.194,fore lick
40795.285,-0.174,fore lick
40861.939,-0.179,fore lick
40928.601,-0.167,fore lick
40995.259,-0.149,fore lick
41061.913,-0.163,fore lick
41128.571,-0.171,fore lick
41195.234,-0.17,fore lick
41261.888,-0.177,fore lick
41328.553,-0.16,fore lick
41395.209,-0.169,fore lick
41461.865,-0.18,fore lick
41528.524,-0.176,fore lick
41595.181,-0.195,fore lick
41661.839,-0.193,fore lick
41728.5,-0.195,fore lick
41795.162,-0.197,fore lick
41861.817,-0.192,fore lick
41928.475,-0.19,fore lick
41995.136,-0.196,fore lick
42061.792,-0.194,fore lick
42128.453,-0.211,fore lick
42195.108,-0.228,fore lick
42261.769,-0.24,fore lick
42328.43,-0.256,fore lick
42395.085,-0.243,fore lick
42461.743,-0.239,fore lick
42528.401,-0.235,fore lick
42595.061,-0.214,fore lick
42661.716,-0.211,fore lick
42728.375,-0.194,fore lick
42795.035,-0.198,fore lick
42861.692,-0.191,fore lick
42928.352,-0.189,fore lick
42995.014,-0.189,fore lick
43061.673,-0.169,fore lick
43128.33,-0.143,fore lick
43194.983,-0.118,fore lick
43261.647,-0.102,fore lick
43328.307,-0.092,fore lick
43394.962,-0.092,fore lick
43461.62,-0.071,fore lick
43528.28,-0.075,fore lick
43594.936,-0.084,fore lick
43661.592,-0.082,fore lick
43728.254,-0.076,fore lick
43794.913,-0.077,fore lick
43861.568,-0.078,fore lick
43928.228,-0.071,fore lick
43994.89,-0.067,fore lick
44061.544,-0.072,fore lick
44128.202,-0.086,fore lick
44194.862,-0.096,fore lick
44261.517,-0.086,fore lick
44328.18,-0.093,fore lick
44394.84,-0.096,fore lick
44461.494,-0.095,fore lick
44528.156,-0.068,fore lick
44594.809,-0.028,fore lick
44661.472,-0.042,fore lick
44728.131,-0.044,fore lick
44794.79,-0.064,fore lick
44861.446,-0.069,fore lick
44928.106,-0.088,fore lick
44994.766,-0.104,fore lick
45061.422,-0.117,fore lick
45128.081,-0.109,fore lick
45194.741,-0.089,fore lick
45261.394,-0.084,fore lick
45328.054,-0.104,fore lick
45394.716,-0.095,fore lick
45461.375,-0.105,fore lick
45528.032,-0.136,fore lick
45594.69,-0.166,fore lick
45661.344,-0.146,fore lick
45728.008,-0.152,fore lick
45794.665,-0.153,fore lick
45861.319,-0.16,fore lick
45927.983,-0.143,fore lick
45994.639,-0.127,fore lick
46061.294,-0.117,fore lick
46127.958,-0.121,fore lick
46194.612,-0.129,fore lick
46261.27,-0.158,walking
46327.932,-0.155,walking
46394.587,-0.199,walking
46461.249,-0.2,walking
46527.907,-0.206,walking
46594.561,-0.199,walking
46661.222,-0.182,walking
46727.883,-0.125,walking
46794.542,0.011,walking
46861.198,0.141,walking
46927.856,0.234,walking
46994.514,0.342,walking
47061.169,0.465,walking
47127.83,0.612,walking
47194.485,0.731,walking
47261.147,0.86,walking
47327.804,0.964,walking
47394.466,1.084,walking
47461.119,1.169,walking
47527.777,1.277,walking
47594.436,1.373,walking
47661.1,1.454,walking
47727.758,1.51,walking
47794.41,1.497,walking
47861.072,1.472,walking
47927.731,1.483,walking
47994.385,1.5,walking
48061.047,1.495,walking
48127.704,1.445,walking
48194.358,1.419,walking
48261.02,1.388,walking
48327.673,1.365,walking
48394.334,1.356,walking
48460.993,1.366,walking
48527.646,1.356,walking
48594.309,1.344,walking
48660.964,1.348,walking
48727.625,1.348,lick
48794.282,1.38,lick
48860.936,1.397,lick
48927.598,1.404,lick
48994.254,1.387,lick
49060.908,1.371,lick
49127.571,1.396,lick
49194.229,1.408,lick
49260.885,1.436,lick
49327.543,1.484,lick
49394.202,1.535,lick
49460.856,1.535,lick
49527.517,1.505,lick
49594.175,1.433,lick
49660.829,1.32,walking
49727.486,1.188,walking
49794.143,1.031,walking
49860.801,0.905,walking
49927.461,0.78,walking
49994.119,0.653,walking
50060.772,0.545,walking
50127.434,0.409,walking
50194.093,0.276,walking
50260.75,0.14,walking
50327.408,-0.01,walking
50394.061,-0.176,walking
50460.719,-0.298,walking
50527.376,-0.37,walking
50594.034,-0.421,walking
50660.697,-0.451,walking
50727.354,-0.455,walking
50794.007,-0.446,walking
50860.668,-0.449,walking
50927.323,-0.477,walking
50993.985,-0.479,walking
51060.64,-0.488,walking
51127.298,-0.488,walking
51193.956,-0.472,walking
51260.615,-0.424,walking
51327.272,-0.362,walking
51393.926,-0.275,walking
51460.588,-0.196,walking
51527.245,-0.14,walking
51593.901,-0.078,walking
51660.557,0.002,walking
51727.217,0.064,walking
51793.873,0.116,walking
51860.529,0.161,walking
51927.189,0.226,walking
51993.845,0.283,walking
52060.506,0.352,walking
52127.157,0.419,walking
52193.821,0.469,walking
52260.476,0.486,walking
52327.136,0.518,walking
52393.789,0.542,walking
52460.446,0.588,walking
52527.106,0.63,walking
52593.76,0.688,walking
52660.42,0.728,walking
52727.075,0.797,fore lick
52793.738,0.837,fore lick
52860.393,0.896,fore lick
52927.051,0.94,fore lick
52993.709,0.994,fore lick
53060.362,1.016,fore lick
53127.025,1.046,fore lick
53193.678,1.071,idle
53260.337,1.089,idle
53326.995,1.088,idle
53393.654,1.082,idle
53460.312,1.036,idle
53526.966,1.023,idle
53593.625,0.993,idle
53660.28,0.967,idle
53726.943,0.911,idle
53793.597,0.891,idle
53860.254,0.865,idle
53926.912,0.852,idle
53993.568,0.833,idle
54060.228,0.824,idle
54126.886,0.796,idle
54193.542,0.8,idle
54260.203,0.804,idle
54326.858,0.814,idle
54393.514,0.806,idle
54460.175,0.793,idle
54526.83,0.736,idle
54593.488,0.658,idle
54660.143,0.573,idle
54726.802,0.509,idle
54793.457,0.423,idle
54860.12,0.34,idle
54926.776,0.256,idle
54993.428,0.184,idle
55060.088,0.114,idle
55126.749,0.057,idle
55193.406,-0.019,idle
55260.06,-0.106,idle
55326.721,-0.191,idle
55393.378,-0.275,idle
55460.033,-0.332,idle
55526.688,-0.349,idle
55593.348,-0.348,idle
55660.008,-0.338,idle
55726.66,-0.308,idle
55793.318,-0.26,idle
55859.976,-0.239,idle
55926.632,-0.223,idle
55993.296,-0.227,idle
56059.947,-0.228,idle
56126.61,-0.252,idle
56193.267,-0.284,idle
56259.924,-0.299,idle
56326.586,-0.317,idle
56393.238,-0.324,idle
56459.901,-0.333,idle
56526.557,-0.34,idle
56593.213,-0.337,idle
56659.876,-0.329,idle
56726.532,-0.367,walking
56793.189,-0.398,walking
56859.85,-0.394,walking
56926.503,-0.383,walking
56993.166,-0.365,walking
57059.821,-0.366,walking
57126.481,-0.333,walking
57193.137,-0.311,walking
57259.799,-0.295,walking
57326.455,-0.288,walking
57393.113,-0.296,walking
57459.771,-0.285,walking
57526.427,-0.302,walking
57593.087,-0.339,walking
57659.746,-0.37,walking
57726.402,-0.392,idle
57793.063,-0.405,idle
57859.721,-0.438,idle
57926.376,-0.462,idle
57993.032,-0.481,idle
58059.695,-0.472,idle
58126.353,-0.448,idle
58193.008,-0.398,idle
58259.669,-0.332,idle
58326.324,-0.247,idle
58392.985,-0.146,idle
58459.637,-0.051,idle
58526.296,0.055,idle
58592.959,0.22,idle
58659.616,0.381,idle
58726.269,0.554,idle
58792.933,0.711,idle
58859.59,0.853,idle
58926.247,1.004,idle
58992.905,1.137,idle
59059.565,1.253,idle
59126.221,1.339,idle
59192.88,1.427,idle
59259.533,1.508,idle
59326.196,1.564,idle
59392.854,1.618,idle
59459.513,1.655,idle
59526.169,1.669,supported rearing
59592.829,1.625,supported rearing
59659.485,1.573,supported rearing
59726.142,1.53,supported rearing
59792.797,1.475,supported rearing
59859.459,1.435,supported rearing
59926.113,1.44,supported rearing
59992.773,1.447,supported rearing
60059.429,1.483,supported rearing
60126.092,1.503,supported rearing
60192.75,1.502,supported rearing
60259.406,1.475,supported rearing
60326.064,1.467,supported rearing
60392.725,1.474,supported rearing
60459.383,1.491,supported rearing
60526.038,1.535,supported rearing
60592.697,1.585,supported rearing
60659.353,1.637,supported rearing
60726.011,1.684,supported rearing
60792.673,1.733,supported rearing
60859.328,1.798,supported rearing
60925.986,1.783,supported rearing
60992.641,1.774,supported rearing
61059.304,1.751,supported rearing
61125.957,1.745,supported rearing
61192.614,1.755,supported rearing
61259.274,1.786,supported rearing
61325.935,1.806,supported rearing
61392.591,1.812,supported rearing
61459.251,1.813,supported rearing
61525.904,1.819,supported rearing
61592.567,1.821,supported rearing
61659.22,1.834,supported rearing
61725.881,1.826,supported rearing
61792.537,1.838,supported rearing
61859.197,1.821,supported rearing
61925.857,1.804,supported rearing
61992.51,1.749,supported rearing
62059.171,1.66,supported rearing
62125.829,1.559,supported rearing
62192.486,1.442,supported rearing
62259.145,1.333,supported rearing
62325.802,1.238,supported rearing
62392.46,1.144,supported rearing
62459.119,1.047,supported rearing
62525.774,0.92,supported rearing
62592.436,0.82,supported rearing
62659.094,0.706,supported rearing
62725.75,0.586,supported rearing
62792.408,0.474,supported rearing
62859.064,0.372,supported rearing
62925.721,0.3,supported rearing
62992.38,0.268,supported rearing
63059.04,0.279,supported rearing
63125.694,0.313,supported rearing
63192.353,0.337,supported rearing
63259.016,0.336,supported rearing
63325.669,0.326,supported rearing
63392.332,0.293,supported rearing
63458.987,0.264,supported rearing
63525.643,0.256,supported rearing
63592.302,0.231,supported rearing
63658.957,0.202,supported rearing
63725.619,0.181,supported rearing
63792.277,0.141,supported rearing
63858.937,0.105,supported rearing
63925.595,0.069,supported rearing
63992.249,0.019,supported rearing
64058.907,-0.034,supported rearing
64125.569,-0.115,supported rearing
64192.226,-0.191,supported rearing
64258.882,-0.223,supported rearing
64325.537,-0.256,supported rearing
64392.2,-0.282,supported rearing
64458.856,-0.287,supported rearing
64525.512,-0.307,supported rearing
64592.172,-0.33,supported rearing
64658.824,-0.338,supported rearing
64725.489,-0.339,supported rearing
64792.144,-0.338,fore lick
64858.799,-0.325,fore lick
64925.459,-0.325,fore lick
64992.115,-0.316,fore lick
65058.774,-0.31,fore lick
65125.432,-0.302,fore lick
65192.087,-0.27,fore lick
65258.75,-0.248,fore lick
65325.404,-0.208,fore lick
65392.062,-0.157,fore lick
65458.724,-0.139,fore lick
65525.376,-0.116,fore lick
65592.038,-0.092,fore lick
65658.692,-0.083,fore lick
65725.354,-0.054,fore lick
65792.009,-0.021,fore lick
65858.667,-0.027,fore lick
65925.325,-0.036,fore lick
65991.982,-0.043,fore lick
66058.64,-0.074,fore lick
66125.298,-0.08,fore lick
66191.955,-0.095,fore lick
66258.613,-0.123,fore lick
66325.273,-0.177,lick
66391.927,-0.242,lick
66458.587,-0.285,lick
66525.246,-0.326,lick
66591.902,-0.345,lick
66658.56,-0.365,lick
66725.217,-0.391,lick
66791.878,-0.415,lick
66858.532,-0.412,lick
66925.19,-0.409,lick
66991.851,-0.39,lick
67058.508,-0.374,lick
67125.163,-0.369,lick
67191.819,-0.349,lick
67258.482,-0.324,lick
67325.136,-0.287,lick
67391.791,-0.253,lick
67458.45,-0.234,lick
67525.107,-0.226,lick
67591.767,-0.23,lick
67658.426,-0.233,lick
67725.082,-0.237,lick
67791.739,-0.253,lick
67858.398,-0.277,lick
67925.054,-0.289,lick
67991.71,-0.309,lick
68058.368,-0.334,lick
68125.032,-0.34,lick
68191.688,-0.368,lick
68258.343,-0.384,lick
68325.003,-0.405,lick
68391.66,-0.425,lick
68458.32,-0.432,lick
68524.971,-0.436,lick
68591.632,-0.434,lick
68658.289,-0.43,walking
68724.948,-0.42,walking
68791.607,-0.397,walking
68858.26,-0.324,walking
68924.921,-0.277,walking
68991.58,-0.239,walking
69058.235,-0.155,walking
69124.893,-0.067,walking
69191.548,0.011,walking
69258.205,0.052,walking
69324.864,0.073,lick
69391.524,0.079,lick
69458.184,0.071,lick
69524.837,0.081,lick
69591.495,0.079,lick
69658.156,0.08,lick
69724.813,0.054,lick
69791.472,0.026,lick
69858.126,-0.035,lick
69924.787,-0.073,lick
69991.441,-0.106,lick
70058.099,-0.164,lick
70124.758,-0.255,lick
70191.413,-0.322,lick
70258.072,-0.374,walking
70324.732,-0.4,walking
70391.388,-0.401,walking
70458.043,-0.39,walking
70524.7,-0.391,walking
70591.362,-0.386,walking
70658.015,-0.38,walking
70724.678,-0.363,walking
