time,dF/F,behavior
22065.275,0.38,walking
22131.922,0.37,walking
22198.573,0.459,walking
22265.22,0.495,walking
22331.868,0.575,walking
22398.515,0.413,walking
22465.162,0.202,walking
22531.806,0.349,walking
22598.454,0.391,walking
22665.103,0.491,walking
22731.744,0.383,walking
22798.395,0.538,walking
22865.041,0.373,walking
22931.686,0.294,walking
22998.335,0.335,walking
23064.976,0.255,walking
23131.621,0.259,walking
23198.266,0.052,walking
23264.916,-0.098,walking
23331.564,-0.304,walking
23398.204,-0.253,walking
23464.851,-0.253,walking
23531.497,-0.333,walking
23598.144,-0.421,walking
23664.787,-0.373,walking
23731.43,-0.282,walking
23798.081,-0.385,walking
23864.72,-0.396,walking
23931.369,-0.347,walking
23998.026,-0.359,walking
24064.68,-0.327,walking
24131.338,-0.303,walking
24197.999,-0.154,walking
24264.654,-0.2,walking
24331.311,0.08,walking
24397.97,-0.024,walking
24464.625,-0.026,walking
24531.281,-0.091,walking
24597.939,-0.134,walking
24664.592,-0.277,walking
24731.251,-0.333,walking
24797.908,-0.472,walking
24864.566,-0.35,walking
24931.226,-0.285,walking
24997.88,-0.374,walking
25064.536,-0.392,walking
25131.196,-0.612,walking
25197.851,-0.65,walking
25264.508,-0.648,walking
25331.164,-0.864,walking
25397.822,-0.806,walking
25464.476,-0.808,walking
25531.134,-0.836,walking
25597.791,-0.763,walking
25664.449,-0.895,walking
25731.102,-1.104,walking
25797.758,-1.035,walking
25864.414,-1.004,walking
25931.076,-1.04,walking
25997.725,-1.077,walking
26064.382,-1.058,walking
26131.044,-0.915,walking
26197.694,-0.801,walking
26264.355,-0.707,walking
26331.01,-0.622,walking
26397.67,-0.521,walking
26464.323,-0.464,walking
26530.978,-0.309,walking
26597.634,-0.28,walking
26664.293,-0.006,walking
26730.951,0.29,walking
26797.606,0.326,walking
26864.263,0.305,walking
26930.916,0.362,walking
26997.574,0.543,walking
27064.228,0.49,walking
27130.884,0.509,walking
27197.541,0.449,walking
27264.196,0.446,walking
27330.85,0.435,walking
27397.511,0.363,walking
27464.163,0.317,walking
27530.82,0.166,walking
27597.479,0.194,walking
27664.132,0.153,walking
27730.788,0.113,walking
27797.446,0.039,walking
27864.099,-0.149,walking
27930.757,-0.208,walking
27997.409,-0.248,walking
28064.071,-0.17,walking
28130.721,-0.122,walking
28197.382,-0.095,walking
28264.032,-0.084,walking
28330.694,0.026,walking
28397.349,-0.012,walking
28463.998,0.108,walking
28530.655,0.193,walking
28597.315,0.137,walking
28663.971,0.052,walking
28730.625,0.122,walking
28797.28,0.193,walking
28863.937,0.349,walking
28930.588,0.344,walking
28997.246,0.378,walking
29063.902,0.417,walking
29130.555,0.437,walking
29197.209,0.336,walking
29263.871,0.522,walking
29330.522,0.488,walking
29397.178,0.573,walking
29463.832,0.529,walking
29530.487,0.539,walking
29597.147,0.611,walking
29663.798,0.636,walking
29730.451,0.664,walking
29797.107,0.592,walking
29863.766,0.643,walking
29930.421,0.727,walking
29997.075,0.683,walking
30063.733,0.676,walking
30130.385,0.655,walking
30197.042,0.652,walking
30263.696,0.59,walking
30330.349,0.46,walking
30397.004,0.348,walking
30463.657,0.255,walking
30530.313,0.196,walking
30596.971,0.119,walking
30663.627,0.241,walking
30730.279,0.151,walking
30796.932,0.27,walking
30863.591,0.243,walking
30930.242,0.136,walking
30996.899,0.091,walking
31063.552,0.079,walking
31130.211,0.134,walking
31196.86,0.3,walking
31263.516,0.185,walking
31330.174,0.237,walking
31396.826,0.357,walking
31463.485,0.448,walking
31530.139,0.532,walking
31596.788,0.454,walking
31663.443,0.4,walking
31730.098,0.41,walking
31796.756,0.353,walking
31863.41,0.212,walking
31930.061,0.356,walking
31996.722,0.37,walking
32063.382,0.429,walking
32130.034,0.379,walking
32196.694,0.184,walking
32263.351,0.255,walking
32330.008,0.215,walking
32396.668,-0.011,walking
32463.326,-0.039,walking
32529.986,0.07,walking
32596.641,0.181,walking
32663.297,0.059,walking
32729.956,0.15,walking
32796.617,0.217,idle
32863.271,0.411,idle
32929.927,0.153,idle
32996.588,0.149,idle
33063.246,-0.042,idle
33129.905,0.024,idle
33196.561,0.181,idle
33263.218,0.054,idle
33329.875,0.213,idle
33396.534,0.384,idle
33463.192,0.311,idle
33529.846,0.144,idle
33596.503,0.174,idle
33663.161,0.233,idle
33729.82,0.063,idle
33796.479,-0.007,idle
33863.139,-0.018,idle
33929.795,0.11,idle
33996.45,0.119,idle
34063.106,0.186,idle
34129.769,0.114,idle
34196.421,-0.084,idle
34263.081,0.137,idle
34329.738,0.049,idle
34396.395,-0.061,idle
34463.055,0.006,idle
34529.711,0.102,idle
34596.368,0.018,idle
34663.025,-0.01,idle
34729.686,0.173,idle
